n_jobs	process	thread
1	3.7074899673461914	0.14406919479370117
2	3.215059995651245	0.22788095474243164
3	4.384768009185791	0.28075623512268066
4	4.610161066055298	0.19529008865356445
5	5.596698045730591	0.2733440399169922
6	4.117218017578125	0.2239091396331787
7	4.890524864196777	0.1656513214111328
8	4.774918079376221	0.1830761432647705
